id_muestra,titulo,anio_estreno,generos,pais_principal,idioma,popularidad,promedio_votos,votos
1403775,"Umjolo: My Beginning, My End!",2025,Drama,Sudafrica,zu,7.324,7.8,13
1000438,Emergency,2025,Drama,India,Hindi,7.301,0.0,0
1216571,June and John,2025,Romance,Francia,Ingles,7.3,0.0,0
1216571,June and John,2025,Suspenso,Francia,Ingles,7.3,0.0,0
1022453,The Raja Saab,2025,Terror,India,Telugu,7.299,0.0,0
1022453,The Raja Saab,2025,Comedia,India,Telugu,7.299,0.0,0
1022453,The Raja Saab,2025,Romance,India,Telugu,7.299,0.0,0
1422121,Caper,2025,Comedia,Estados Unidos,Ingles,7.295,0.0,0
1422121,Caper,2025,Crimen,Estados Unidos,Ingles,7.295,0.0,0
1422121,Caper,2025,Drama,Estados Unidos,Ingles,7.295,0.0,0
1125257,Freakier Friday,2025,Comedia,Estados Unidos,Ingles,7.295,0.0,0
1125257,Freakier Friday,2025,Familia,Estados Unidos,Ingles,7.295,0.0,0
1125257,Freakier Friday,2025,Fantasia,Estados Unidos,Ingles,7.295,0.0,0
1300034,RB&O Live 2024/25: Swan Lake,2025,Sin informacion,Sin informacion,Ingles,7.258,0.0,0
1422631,Other Side,2025,Documental,Estados Unidos,Ingles,7.257,0.0,0
1210732,How to Make a Killing,2025,Comedia,Francia,Frances,7.251,6.557,106
1210732,How to Make a Killing,2025,Suspenso,Francia,Frances,7.251,6.557,106
1437707,Unstoppable,2025,Accion,China,Chino,7.242,0.0,1
1437707,Unstoppable,2025,Ciencia Ficcion,China,Chino,7.242,0.0,1
280951,Madha Gaja Raja,2025,Accion,India,Tamil,7.24,3.0,1
280951,Madha Gaja Raja,2025,Romance,India,Tamil,7.24,3.0,1
280951,Madha Gaja Raja,2025,Comedia,India,Tamil,7.24,3.0,1
1324198,Blood on My Hands,2025,Terror,Sin informacion,Ingles,7.228,0.0,0
1324198,Blood on My Hands,2025,Suspenso,Sin informacion,Ingles,7.228,0.0,0
1324198,Blood on My Hands,2025,Crimen,Sin informacion,Ingles,7.228,0.0,0
1420613,Hill,2025,Documental,Reino Unido,Ingles,7.212,6.0,1
1236471,Everyone is Going to Die,2025,Terror,Reino Unido,Ingles,7.212,5.0,1
1236471,Everyone is Going to Die,2025,Suspenso,Reino Unido,Ingles,7.212,5.0,1
1236471,Everyone is Going to Die,2025,Drama,Reino Unido,Ingles,7.212,5.0,1
1405391,Half Moon,2025,Documental,Paises Bajos,Ingles,7.175,0.0,0
1368166,The Housemaid,2025,Suspenso,Estados Unidos,Ingles,7.175,0.0,0
1368166,The Housemaid,2025,Misterio,Estados Unidos,Ingles,7.175,0.0,0
1422074,Are We Good?,2025,Documental,Estados Unidos,Ingles,7.171,0.0,0
1425617,Baska Bir Sen,2025,Comedia,Sin informacion,Turco,7.17,0.0,0
1425617,Baska Bir Sen,2025,Romance,Sin informacion,Turco,7.17,0.0,0
1429995,Tokyo Nights,2025,Drama,Filipinas,tl,7.157,1.0,1
1429995,Tokyo Nights,2025,Romance,Filipinas,tl,7.157,1.0,1
1299655,Blue Moon,2025,Drama,Irlanda,Ingles,7.148,6.0,1
1299655,Blue Moon,2025,Musica,Irlanda,Ingles,7.148,6.0,1
1299655,Blue Moon,2025,Historia,Irlanda,Ingles,7.148,6.0,1
1421982,Lore Of The Ring Light,2025,Animacion,Sin informacion,Ingles,7.141,10.0,1
1421982,Lore Of The Ring Light,2025,Aventura,Sin informacion,Ingles,7.141,10.0,1
1421982,Lore Of The Ring Light,2025,Comedia,Sin informacion,Ingles,7.141,10.0,1
1421982,Lore Of The Ring Light,2025,Fantasia,Sin informacion,Ingles,7.141,10.0,1
1421982,Lore Of The Ring Light,2025,Familia,Sin informacion,Ingles,7.141,10.0,1
1421982,Lore Of The Ring Light,2025,Musica,Sin informacion,Ingles,7.141,10.0,1
727121,Hari Hara Veera Mallu : Part 1 - Sword vs Spirit,2025,Accion,India,Telugu,7.137,0.0,0
727121,Hari Hara Veera Mallu : Part 1 - Sword vs Spirit,2025,Drama,India,Telugu,7.137,0.0,0
668489,Havoc,2025,Accion,Reino Unido,Ingles,7.123,0.0,0
668489,Havoc,2025,Crimen,Reino Unido,Ingles,7.123,0.0,0
668489,Havoc,2025,Suspenso,Reino Unido,Ingles,7.123,0.0,0
668489,Havoc,2025,Drama,Reino Unido,Ingles,7.123,0.0,0
668489,Havoc,2025,Misterio,Reino Unido,Ingles,7.123,0.0,0
729713,Mom,2025,Terror,Canada,Ingles,7.112,0.0,0
729713,Mom,2025,Suspenso,Canada,Ingles,7.112,0.0,0
1282536,Little Red Sweet,2025,Familia,Hong Kong,cn,7.101,0.0,0
1282536,Little Red Sweet,2025,Drama,Hong Kong,cn,7.101,0.0,0
1261148,Almarhum,2025,Terror,Indonesia,Indonesio,7.073,5.0,2
1261148,Almarhum,2025,Suspenso,Indonesia,Indonesio,7.073,5.0,2
1107215,"My Mom, God and Sylvie Vartan",2025,Drama,Canada,Frances,7.072,0.0,0
1107215,"My Mom, God and Sylvie Vartan",2025,Comedia,Canada,Frances,7.072,0.0,0
1180417,The Dutchman,2025,Suspenso,Estados Unidos,Ingles,7.065,0.0,0
1405976,Studs,2025,Sin informacion,Estados Unidos,Ingles,7.064,0.0,0
1426719,Samawa,2025,Drama,Indonesia,Indonesio,7.046,0.0,0
1426719,Samawa,2025,Romance,Indonesia,Indonesio,7.046,0.0,0
1426719,Samawa,2025,Terror,Indonesia,Indonesio,7.046,0.0,0
767901,Hearts of Darkness: The Making of the Final Friday,2025,Documental,Sin informacion,Ingles,7.046,0.0,0
1082942,B.O.Y. - Bruises of Yesterday,2025,Drama,Dinamarca,Danes,7.041,0.0,0
1437221,TACHEE,2025,Drama,Francia,Frances,7.04,0.0,0
1437221,TACHEE,2025,Romance,Francia,Frances,7.04,0.0,0
1422639,Deepfaking Sam Altman,2025,Documental,Estados Unidos,Ingles,7.04,0.0,0
1305042,A Bathroom of One's Own,2025,Drama,Espana,Espanol,7.035,0.0,0
1416886,The Take-Out,2025,Crimen,Estados Unidos,Ingles,7.034,0.0,0
1416886,The Take-Out,2025,Comedia,Estados Unidos,Ingles,7.034,0.0,0
1416886,The Take-Out,2025,Drama,Estados Unidos,Ingles,7.034,0.0,0
1304047,"Oskar, Patka i Złoto Bałtyku",2025,Familia,Polonia,Polaco,7.032,0.0,0
1304047,"Oskar, Patka i Złoto Bałtyku",2025,Aventura,Polonia,Polaco,7.032,0.0,0
1421977,Fantasy Life,2025,Drama,Estados Unidos,Ingles,7.028,0.0,0
1413161,Bodyguard 3,2025,Accion,China,Chino,7.024,0.0,0
1413161,Bodyguard 3,2025,Comedia,China,Chino,7.024,0.0,0
1198208,Veera Dheera Sooran: Part 2,2025,Accion,India,Tamil,7.023,0.0,0
1198208,Veera Dheera Sooran: Part 2,2025,Crimen,India,Tamil,7.023,0.0,0
1198208,Veera Dheera Sooran: Part 2,2025,Drama,India,Tamil,7.023,0.0,0
1377676,Sudden Outbursts of Emotions,2025,Comedia,Finlandia,Finlandes,7.015,0.0,0
1377676,Sudden Outbursts of Emotions,2025,Drama,Finlandia,Finlandes,7.015,0.0,0
1377676,Sudden Outbursts of Emotions,2025,Romance,Finlandia,Finlandes,7.015,0.0,0
1422119,I Really Love My Husband,2025,Drama,Estados Unidos,Ingles,7.001,0.0,0
1160360,If I Had Legs I’d Kick You,2025,Comedia,Estados Unidos,Ingles,6.996,0.0,0
1160360,If I Had Legs I’d Kick You,2025,Drama,Estados Unidos,Ingles,6.996,0.0,0
1431271,Niram Marum Ulagil,2025,Drama,India,Tamil,6.995,0.0,0
1401599,AEW Revolution,2025,Sin informacion,Estados Unidos,Ingles,6.994,0.0,0
1383580,Surviving Earth,2025,Drama,Reino Unido,Ingles,6.988,0.0,0
796941,Axe2Grind,2025,Suspenso,Estados Unidos,Ingles,6.979,0.0,0
796941,Axe2Grind,2025,Terror,Estados Unidos,Ingles,6.979,0.0,0
1432018,Conspiracy Theories with Quin,2025,Documental,Sin informacion,Ingles,6.976,0.0,0
1425662,Real Madrid: Como no te voy a querer,2025,Documental,Sin informacion,Espanol,6.973,9.4,7
1291904,Mouse Of Horrors,2025,Terror,Reino Unido,Ingles,6.971,6.2,3
1377514,Slow Train,2025,TV Movie,Japon,Japones,6.966,4.0,2
1224453,Story of a Night,2025,Comedia,Italia,Italiano,6.95,0.0,0
1205679,Good Night,2025,Comedia,Argentina,Espanol,6.946,0.0,0
1428705,Eric Clapton Unplugged... Over 30 Years Later,2025,Documental,Estados Unidos,Ingles,6.938,8.0,1
